Time,Section,Index,Line,Word,Misspelled,Triggered
2021-12-31T18:27:54.2370007-05:00,0,220,26,Soon,False,False
2021-12-31T18:27:54.7060001-05:00,0,221,26,the,False,False
2021-12-31T18:27:54.9410027-05:00,0,222,26,potter,False,False
2021-12-31T18:27:55.2199995-05:00,0,223,26,prepared,False,False
2021-12-31T18:27:56.3370697-05:00,0,222,26,potter,False,False
2021-12-31T18:27:56.3700705-05:00,0,220,26,Soon,False,False
2021-12-31T18:27:56.4040710-05:00,0,219,26,place.,False,False
2021-12-31T18:27:56.7950702-05:00,0,218,26,same,False,False
2021-12-31T18:27:57.5650700-05:00,0,219,26,place.,False,False
2021-12-31T18:27:57.6110707-05:00,0,227,27,home.,False,False
2021-12-31T18:27:58.2350702-05:00,0,228,27,But,False,False
2021-12-31T18:27:58.5700713-05:00,0,229,27,the,False,False
2021-12-31T18:27:58.5930707-05:00,0,230,27,donkey,False,False
2021-12-31T18:27:58.6490717-05:00,0,229,27,the,False,False
2021-12-31T18:27:59.2180708-05:00,0,230,27,donkey,False,False
2021-12-31T18:27:59.4860701-05:00,0,231,27,did,False,False
2021-12-31T18:28:00.4930696-05:00,0,230,27,donkey,False,False
2021-12-31T18:28:00.5370702-05:00,0,227,27,home.,False,False
2021-12-31T18:28:00.9500695-05:00,0,225,27,leave,False,False
2021-12-31T18:28:01.2180698-05:00,0,234,28,'“'What,False,False
2021-12-31T18:28:01.8211136-05:00,0,235,28,is,False,False
2021-12-31T18:28:02.0781150-05:00,0,236,28,wrong,False,False
2021-12-31T18:28:02.3681130-05:00,0,237,28,with,False,False
2021-12-31T18:28:02.7591129-05:00,0,238,28,this,False,False
2021-12-31T18:28:02.7711138-05:00,0,237,28,with,False,False
2021-12-31T18:28:02.8261153-05:00,0,239,28,donkey!',False,False
2021-12-31T18:28:03.4291760-05:00,0,238,28,this,False,False
2021-12-31T18:28:03.4531782-05:00,0,236,28,wrong,False,False
2021-12-31T18:28:03.6861788-05:00,0,235,28,is,False,False
2021-12-31T18:28:04.0221783-05:00,0,234,28,'“'What,False,False
2021-12-31T18:28:04.8471774-05:00,0,240,29,exclaimed,False,False
2021-12-31T18:28:05.2621784-05:00,0,241,29,the,False,False
2021-12-31T18:28:05.3171800-05:00,0,242,29,potter,False,False
2021-12-31T18:28:05.8871789-05:00,0,244,29,frustration.,False,False
2021-12-31T18:28:06.5011767-05:00,0,245,29,Luckily,False,False
2021-12-31T18:28:06.9041766-05:00,0,244,29,frustration.,False,False
2021-12-31T18:28:06.9591771-05:00,0,243,29,in,False,False
2021-12-31T18:28:06.9821773-05:00,0,242,29,potter,False,False
2021-12-31T18:28:07.2383414-05:00,0,241,29,the,False,False
2021-12-31T18:28:07.2503394-05:00,0,242,29,potter,False,False
2021-12-31T18:28:07.3843410-05:00,0,241,29,the,False,False
2021-12-31T18:28:07.3953407-05:00,0,240,29,exclaimed,False,False
2021-12-31T18:28:07.9193396-05:00,0,241,29,the,False,False
2021-12-31T18:28:08.4793399-05:00,0,248,30,saw,False,False
2021-12-31T18:28:08.6903432-05:00,0,249,30,the,False,False
2021-12-31T18:28:09.0483409-05:00,0,250,30,wise,False,False
2021-12-31T18:28:09.2714246-05:00,0,251,30,saint,False,False
2021-12-31T18:28:09.4724415-05:00,0,252,30,again.,False,False
2021-12-31T18:28:10.3096110-05:00,0,253,30,He,False,False
2021-12-31T18:28:10.5556147-05:00,0,251,30,saint,False,False
2021-12-31T18:28:10.5906133-05:00,0,250,30,wise,False,False
2021-12-31T18:28:10.6126125-05:00,0,249,30,the,False,False
2021-12-31T18:28:10.8696121-05:00,0,249,30,the,False,False
2021-12-31T18:28:10.8906116-05:00,0,248,30,saw,False,False
2021-12-31T18:28:11.1596146-05:00,0,247,30,potter,False,False
2021-12-31T18:28:11.5386106-05:00,0,249,30,the,False,False
2021-12-31T18:28:11.8626121-05:00,0,248,30,saw,False,False
2021-12-31T18:28:12.1316132-05:00,0,259,31,and,False,False
2021-12-31T18:28:12.3886128-05:00,0,260,31,told,False,False
2021-12-31T18:28:12.7006111-05:00,0,261,31,him,False,False
2021-12-31T18:28:12.9026140-05:00,0,262,31,about,False,False
2021-12-31T18:28:12.9126108-05:00,0,261,31,him,False,False
2021-12-31T18:28:12.9246125-05:00,0,262,31,about,False,False
2021-12-31T18:28:12.9356120-05:00,0,261,31,him,False,False
2021-12-31T18:28:13.0466123-05:00,0,262,31,about,False,False
2021-12-31T18:28:13.2706443-05:00,0,263,31,the,False,False
2021-12-31T18:28:13.6956118-05:00,0,262,31,about,False,False
2021-12-31T18:28:13.7056143-05:00,0,261,31,him,False,False
2021-12-31T18:28:13.7176119-05:00,0,260,31,told,False,False
2021-12-31T18:28:13.7396109-05:00,0,259,31,and,False,False
2021-12-31T18:28:15.4596113-05:00,0,258,31,saint,False,False
2021-12-31T18:28:15.7836135-05:00,0,266,32,behavior.,False,False
2021-12-31T18:28:16.9336138-05:00,0,267,32,The,False,False
2021-12-31T18:28:16.9676112-05:00,0,268,32,saint,False,False
2021-12-31T18:28:17.2246163-05:00,0,269,32,said,False,False
2021-12-31T18:28:17.5936121-05:00,0,270,32,'“'You,False,False
2021-12-31T18:28:17.9836112-05:00,0,268,32,saint,False,False
2021-12-31T18:28:18.0066129-05:00,0,267,32,The,False,False
2021-12-31T18:28:18.0176111-05:00,0,266,32,behavior.,False,False
2021-12-31T18:28:18.6206120-05:00,0,267,32,The,False,False
2021-12-31T18:28:18.8436112-05:00,0,268,32,saint,False,False
2021-12-31T18:28:19.2566111-05:00,0,269,32,said,False,False
2021-12-31T18:28:19.3916127-05:00,0,278,33,untie,False,False
2021-12-31T18:28:19.6376118-05:00,0,279,33,him?,False,False
2021-12-31T18:28:19.9507567-05:00,0,278,33,untie,False,False
2021-12-31T18:28:19.9837583-05:00,0,277,33,you,False,False
2021-12-31T18:28:19.9947573-05:00,0,276,33,did,False,False
2021-12-31T18:28:20.0287566-05:00,0,274,33,donkey,False,False
2021-12-31T18:28:21.1447593-05:00,0,275,33,but,False,False
2021-12-31T18:28:21.3688361-05:00,0,276,33,did,False,False
2021-12-31T18:28:21.6918368-05:00,0,278,33,untie,False,False
2021-12-31T18:28:22.4858363-05:00,0,277,33,you,False,False
2021-12-31T18:28:22.9100469-05:00,0,276,33,did,False,False
2021-12-31T18:28:22.9660454-05:00,0,275,33,but,False,False
2021-12-31T18:28:22.9880796-05:00,0,283,34,to,False,False
2021-12-31T18:28:23.2000465-05:00,0,282,34,pretend,False,False
2021-12-31T18:28:23.6910462-05:00,0,284,34,untie,False,False
2021-12-31T18:28:24.1500445-05:00,0,285,34,the,False,False
2021-12-31T18:28:24.3950449-05:00,0,286,34,rope,False,False
2021-12-31T18:28:24.6630436-05:00,0,287,34,with,False,False
2021-12-31T18:28:24.9421687-05:00,0,288,34,which,False,False
2021-12-31T18:28:25.5013825-05:00,0,286,34,rope,False,False
2021-12-31T18:28:25.5343814-05:00,0,284,34,untie,False,False
2021-12-31T18:28:25.5683799-05:00,0,283,34,to,False,False
2021-12-31T18:28:25.7803832-05:00,0,282,34,pretend,False,False
2021-12-31T18:28:26.4063837-05:00,0,284,34,untie,False,False
2021-12-31T18:28:26.6183808-05:00,0,292,35,the,False,False
2021-12-31T18:28:27.0423831-05:00,0,293,35,donkey.',False,False
2021-12-31T18:28:27.3443800-05:00,0,292,35,the,False,False
2021-12-31T18:28:27.3663809-05:00,0,292,35,the,False,False
2021-12-31T18:28:27.5003821-05:00,0,291,35,tied,False,False
2021-12-31T18:28:27.6683843-05:00,0,293,35,donkey.',False,False
2021-12-31T18:28:27.9693838-05:00,0,291,35,tied,False,True
2021-12-31T18:28:29.1983818-05:00,0,292,35,the,False,False
2021-12-31T18:28:29.4003802-05:00,0,293,35,donkey.',False,False
2021-12-31T18:28:29.9803812-05:00,0,294,35,The,False,False
2021-12-31T18:28:30.2033837-05:00,0,295,35,potter,False,False
2021-12-31T18:28:30.2713820-05:00,0,302,36,donkey,False,False
2021-12-31T18:28:30.5833814-05:00,0,301,36,the,False,False
2021-12-31T18:28:30.5943830-05:00,0,300,36,Now,False,False
2021-12-31T18:28:30.6174079-05:00,0,299,36,advice.,False,False
2021-12-31T18:28:31.4553820-05:00,0,300,36,Now,False,False
2021-12-31T18:28:31.5113822-05:00,0,301,36,the,False,False
2021-12-31T18:28:31.5893830-05:00,0,300,36,Now,False,False
2021-12-31T18:28:31.7903832-05:00,0,301,36,the,False,False
2021-12-31T18:28:32.0463796-05:00,0,302,36,donkey,False,False
2021-12-31T18:28:32.3933826-05:00,0,303,36,was,False,False
2021-12-31T18:28:32.7283815-05:00,0,304,36,ready,False,False
2021-12-31T18:28:32.7963812-05:00,0,303,36,was,False,False
2021-12-31T18:28:33.3983817-05:00,0,302,36,donkey,False,False
2021-12-31T18:28:33.4313823-05:00,0,301,36,the,False,False
2021-12-31T18:28:33.4763814-05:00,0,300,36,Now,False,False
2021-12-31T18:28:33.4994129-05:00,0,299,36,advice.,False,False
2021-12-31T18:28:33.8893834-05:00,0,308,37,home.,False,False
2021-12-31T18:28:34.5713798-05:00,0,309,37,The,False,False
2021-12-31T18:28:34.9063826-05:00,0,310,37,potter,False,False
